platform,komentar,timestamp,sentimen,komentar_clean
YouTube,"Naturalisasi adalah program yang paling tepat untuk meningkatkan prestasi sepak bola Indonesia.
Kenapa dikatakan tepat, karena kondisi skill, fisik, mental pemain yang ada tidak memungkinkan berprestasi di Asia, apa lagi di dunia, untuk asean saja kesulitan.
Dengan program naturalisasi dapat memberi stimulasi kepada para pemain muda sehingaa dengan melihat para pemain timnas yang terdiri dari pemain diaspora dan lokal maka para pemain muda mempunyai target dalam pribadinya bahwa sepak bola itu ""dengan cara seperti itu, ala eropa...?""
Para pemain muda kita tutup rapat2 dari cara bermain era lama, mental dan daya juang zaman dulu sehingga para pemain muda melihat para pemain timnas bermain ala eropah, akan membuat dan membentuk ""doktrin"" dalam dirinya, gaya, mental, dedikasi para pemain diaspora dan akan membentuk pribadi dan gaya bermain pemain muda.",1 tahun yang lalu,,naturalisasi program tingkat prestasi sepak bola indonesia kondisi skill fisik mental main prestasi asia dunia asean sulit program naturalisasi stimulasi main muda sehingaa main timnas main diaspora lokal main muda target pribadi sepak bola ala eropa main muda tutup rapat main era mental daya juang zaman main muda main timnas main ala eropah bentuk doktrin gaya mental dedikasi main diaspora bentuk pribadi gaya main main muda
YouTube,Lalat akan selalu mencari kotoran meskipun di depan sudah di letakkan kue yang enak tapi ini bukan tentang lalat...,1 tahun yang lalu,,lalat cari kotor letak kue enak lalat
YouTube,Towel naik darah....apa yg bisa towel berikan untuk timnas....apa hannya kritikan aja 😅😅😅....,1 tahun yang lalu,,towel darahapa yg towel timnasapa hannya kritik aja
YouTube,Makelar belanda,1 tahun yang lalu,,makelar belanda
YouTube,"menurut gw si towel bukan ga suka sama pelatih shin,tapi dia ga suka dgn pemimpin pssi yg sekarang pak erik tohir, dan dia ga berani jika terang terangan langsung menyerang atau mengkritik langsung pak erik krna tau laah kapasitas pak erik sprti apa,dan bakal ketahuan siapa asli nya sitowel ini berikut orang2 di di belakang ny,melainkan dia melayangkan serangan ke pelatih yg sekarang agar permainan indonesia menjadi jelek dan imbas nya para fans garuda mengira krna kepengurusan oleh ketua pssi tidak becus,,,dan langsung menuntut mundur pak erik,,dan menuntut untuk tidak memilih pak erik menjadi ketum pssi lagi,dstu lah tim nya si towel masuk buat mngganti ketum pssi yg baru,,nahh kalo suda mereka lagi yg pegang kendali pssi auto donk kantong mereka tebel lagi,,entah itu dr pengaturan skor entah itu dri suap menyuap wasit atau pemaain dsb, pokok nya yg menguntungkan komplotan si towel ini mafia2 bola keparat,..",1 tahun yang lalu,,gw si towel ga suka latih shintapi ga suka dgn pimpin pssi yg erik tohir ga berani terang terang langsung serang kritik langsung erik krna tau laah kapasitas erik sprti apadan tahu asli nya sitowel orang nymelainkan layang serang latih yg main indonesia jelek imbas nya fans garuda krna urus ketua pssi becusdan langsung tuntut mundur erikdan tuntut pilih erik tum pssi lagidstu tim nya si towel masuk mngganti tum pssi yg barunahh kalo suda yg pegang kendali pssi auto donk kantong tebel lagientah dr atur skor dri suap suap wasit pemaain dsb pokok nya yg untung komplot si towel mafia bola keparat
YouTube,France.. isi.a 90% pemain naturalisasi semua😂,1 tahun yang lalu,,france isia main naturalisasi
YouTube,"Sudah lah jgn permasalahkan naturalisasi.
Yg penting Indonesia juara",1 tahun yang lalu,,jgn masalah naturalisasi yg indonesia juara
YouTube,dengarin towel...jgn cuman subjektif n pergame aja diliahat,1 tahun yang lalu,,dengarin toweljgn cuman subjektif n pergame aja diliahat
YouTube,"Dengerin itu well,,, blokkk",1 tahun yang lalu,,dengerin well blokkk
YouTube,GUE juga tau kalau Bung Towel ini hanya kritik STY aja bukan sistem NATURILISASI,1 tahun yang lalu,,gue tau towel kritik sty aja sistem naturilisasi
YouTube,"Kita misalkan, gak usahlah level negara, misalkan ortu kita salah satunya ada yg dari luar pulau jawa. Semisal medan,aceh,makasar,bali papua, dll, terus menikah di Jakarta..
Kalian pasti selalu membanggakan asal muasal nama daerah ortukan. Kira selalu tetap merasa jadi bagian dari daerah salah satu ortukan.

Nah itulah yg dirasakan naturalisasi.
Apa lagi karir pemain tertinggi ya emang kalau bisa menbela sbw negara. Beda bro..
Orang tidak akan lupa dari mana mereka berasal.",1 tahun yang lalu,,gak usah level negara ortu salah satu yg pulau jawa medanacehmakasarbali papua dll meni jakarta bangga muasal nama daerah ortukan daerah salah ortukan yg rasa naturalisasi karir main tinggi ya emang menbela sbw negara beda bro orang lupa asal
YouTube,Yang gendut fans AFF CUP 😂,1 tahun yang lalu,,gendut fans aff cup
YouTube,Towel dan para kolega kayak tau bola...perut aja pada buncit... ini sebetulnya orang2 yang m3mbuat indonesia ga mebanggakan...,1 tahun yang lalu,,towel kolega kayak tau bolaperut aja buncit orang mmbuat indonesia ga mebanggakan
YouTube,"Solusinya untuk menghilangkan Bacot bung towel dan kawan2X,,BLOKIIIRRRR SEMUA MEDIA YANG BERI DIA PANGGUNG",1 tahun yang lalu,,solusi hilang bacot towel kawanxblokiiirrrr media panggung
YouTube,di sini kita tau mana omongan orang pinter dan paham bola dan orang yang bodoh,1 tahun yang lalu,,tau omong orang pinter paham bola orang bodoh
YouTube,Pak hamdan sabar sekali keren pak sampeyan,1 tahun yang lalu,,hamdan sabar keren sampeyan
YouTube,"Si towel otak nya nge-lag asli. Malah kalau menang karena STY kalo kalah karena marcelino 😂 sudah tau Tim, kalo bicara kesalahan ya wajar ada kesalahan saat main. Eajar kalau di kritik. kalau gak mau di kritik gak usah main pemain nya, emang kita mengakui Faktor kemajuan sepak bola timnas karena STY dan managemen nya. Dan karena faktor Erik tohir yang gak main² dengan target nya",1 tahun yang lalu,,si towel otak nya ngelag asli menang sty kalo kalah marcelino tau tim kalo bicara salah ya wajar salah main eajar kritik gak kritik gak main main nya emang aku faktor maju sepak bola timnas sty managemen nya faktor erik tohir gak main target nya
YouTube,Tolong lah si towel jngn di kasi panggung lagi tolong !!! Perusak towel itu,1 tahun yang lalu,,tolong si towel jngn kasi panggung tolong usak towel
YouTube,Koplo,1 tahun yang lalu,,koplo
YouTube,Towel...ngapain sih...,1 tahun yang lalu,,towelngapain sih
YouTube,Towel tu ko ngotot bngt..kl saya yg jd bung hamdan..udah t tonjok bung towel,1 tahun yang lalu,,towel tu ko ngotot bngtkl yg jd hamdanudah t tonjok towel
YouTube,"keliatan muka"" yang pemikirannya maju",1 tahun yang lalu,,liat muka pikir maju
YouTube,Aneh metro tv ngundang pengamat politik bahas bola kaga nyambung,1 tahun yang lalu,,aneh metro tv ngundang amat politik bahas bola kaga nyambung
YouTube,"intinya si kawan gak dapat jatahn titipan pemain dan gak bisa lagi bermain mafia hahah ,,",1 tahun yang lalu,,inti si kawan gak jatahn titip main gak main mafia hahah
YouTube,"Si handuk mengkritisi pernyataan StY kalau pemain indonesia mental takut sebelum bertanding kalau kegemu negara2 kuat, lah emang begitu kenyataan nya handuk dr dulu indonesia selalu inferior ketemu2 negara lebih kuat Thailand, Vietnam di Zona Asean, liat sekarang bagaimana Indonesia mental nya naik setelah ketemu lawan2 dr Asia .... Handuk handuk justru loe yg keliatan memecah velah dengan pernyataan loe kalau indonesia sekarang jadi berubah krna StY atau Progres Naturalisasi",1 tahun yang lalu,,si handuk kritisi nyata sty main indonesia mental takut tanding kegemu negara kuat emang nyata nya handuk dr indonesia inferior ketemu negara kuat thailand vietnam zona asean liat indonesia mental nya ketemu lawan dr asia handuk handuk loe yg liat pecah velah nyata loe indonesia ubah krna sty progres naturalisasi
YouTube,ini gendut satu terlalu gaya omong mcam yg paham sepakbola saja,1 tahun yang lalu,,gendut gaya omong mcam yg paham sepakbola
YouTube,Itu betul karena pemain nya pada ego gak bisa mencontoh,1 tahun yang lalu,,main nya ego gak contoh
YouTube,Karena towel ini orang begoktentang bola jangan di dengar TOWEL ITU,1 tahun yang lalu,,towel orang begoktentang bola dengar towel
YouTube,Nama nya aja towel gak usah di dengar karena ia gak mau negara indonesia maju dasar begok lu,1 tahun yang lalu,,nama nya aja towel gak dengar gak negara indonesia maju dasar begok lu
YouTube,Jurus meniru atau ikut ikutan 😢 Kakashi saringgan 😢😢,1 tahun yang lalu,,jurus tiru ikut kakashi saringgan
YouTube,Kalau enak di lanjutkan kalau gak enak di tinggalkan 😢,1 tahun yang lalu,,enak lanjut gak enak tinggal
YouTube,Hidup itu mau senang bukan mau susah 😢😢😢😢😢,1 tahun yang lalu,,hidup senang susah
YouTube,Simuka komodo itu,1 tahun yang lalu,,simuka komodo
YouTube,"Hrs sadar pemaen lokal sulit utk berprestasi,tpi gak sadar.Perlu ada pemaen dr Naturalisasi",1 tahun yang lalu,,hrs sadar pemaen lokal sulit utk berprestasitpi gak sadarperlu pemaen dr naturalisasi
YouTube,Towel itu nggk ngerti tp sok ngerti ..jngn sok mengkritis kalau nggk ngerti ..anda mau indonesia itu nggk berkembang ..andacnggk ngerti towel,1 tahun yang lalu,,towel nggk ngerti tp sok ngerti jngn sok kritis nggk ngerti indonesia nggk kembang andacnggk ngerti towel
YouTube,Bung towel nggk perna sekola tu  jadi nggk ngerti kalau kalah siapa yang di salah kan ..anda dulu sekolah ..kalau pintar siapa yang di puji ..anda kan bung towel kalau anda bodoh aiapa yang di cecar guru kan ..anda egois towel,1 tahun yang lalu,,towel nggk perna kola tu nggk ngerti kalah salah sekolah pintar puji towel bodoh aiapa cecar guru egois towel
YouTube,Towel kayak bab.,1 tahun yang lalu,,towel kayak bab
YouTube,"Towel paling pandai memutar2 omongan yg intinya memojokan,tpdia sendiri sebenarnya gk ngerti apa itu sepak bola,ibarat tong kosong nyaring bunyinya",1 tahun yang lalu,,towel pandai putar omong yg inti memojokantpdia gk ngerti sepak bolaibarat tong kosong nyaring bunyi
YouTube,"Toel sok paling paham timnas,kapasitas cuma megang kamera aja banyak bacot ,",1 tahun yang lalu,,toel sok paham timnaskapasitas megang kamera aja bacot
YouTube,"Mereng amat otak si towell,",1 tahun yang lalu,,mereng otak si towell
YouTube,Towel towel aaaaahhhhhh,1 tahun yang lalu,,towel towel aaaaahhhhhh
YouTube,"YANG NGERTI BOLA CUMA PAK HAMDAN, YANG LAIN MAH PEMAIN POLITIK SEMUA😅😅😅😅",1 tahun yang lalu,,ngerti bola hamdan mah main politik
YouTube,Terbukti kan . Bahwa pengamat beda tipis dengan Profokator... Tipissss banget,1 tahun yang lalu,,bukti amat beda tipis profokator tipissss banget
YouTube,"Udah diKasih paham sama Bang Hamdan tapi gak paham juga, angel wess angel, karepmu 😂😂😂 Bravo PSSI ❤",1 tahun yang lalu,,udah kasih paham bang hamdan gak paham angel wess angel karepmu bravo pssi
YouTube,Si towel itu mafia. 😅,1 tahun yang lalu,,si towel mafia
YouTube,Maunya di towel tuh orang sok pinter,1 tahun yang lalu,,mau towel tuh orang sok pinter
YouTube,"Senang dengar debat ini, ada yg cari panggung karna sudah gak punya panggung lagi. Ada yg berfikir utk kemajuan Timnas Indoensia jauh ke depan.

Kami rakyat indonesia ini sudah lama kelaparan, jadi butuh asupan makanan. Mau singkong atau keju pasti kai makan  Faham gak ... 😂😂",1 tahun yang lalu (diedit),,senang dengar debat yg cari panggung karna gak panggung yg berfikir utk maju timnas indoensia rakyat indonesia lapar butuh asupan makan singkong keju kai makan faham gak
